seed,geo_error,interp_error,ml_error_tri,tr_error_tri,ml_error_all,tr_error_all,ml_val_loss,tr_val_loss
0,0.011487140579502538,0.012193118607812132,0.011118692256806655,0.008257342709206379,0.012225879284502032,0.011314042006317223,0.46673232316970825,0.5012260874112447
1,0.011487140579502538,0.012193118607812132,0.011972940442502383,0.008875600991012946,0.012629136119836818,0.011072893660138427,0.5081841349601746,0.42471891442934673
2,0.011487140579502538,0.012193118607812132,0.011976058053029967,0.007871836696581425,0.012874041094714557,0.010488306394650112,0.5097114443778992,0.3955850819746653
3,0.011487140579502538,0.012193118607812132,0.012200407059308232,0.008104095185271377,0.013010375183941008,0.010600258683624715,0.5010036826133728,0.34216731786727905
4,0.011487140579502538,0.012193118607812132,0.011116994812540738,0.008436749626999484,0.01242299969128965,0.010598566513460318,0.5278249382972717,0.3479685743649801
5,0.011487140579502538,0.012193118607812132,0.012548789277818644,0.00738711815681592,0.013356412641121506,0.010497682974728273,0.5460032820701599,0.4208445370197296
6,0.011487140579502538,0.012193118607812132,0.011576638815268547,0.007192056794008577,0.012525242172635702,0.010360284146292847,0.49793511629104614,0.3592827498912811
7,0.011487140579502538,0.012193118607812132,0.011552209112104613,0.007972677949723147,0.012715833538296188,0.010042896059278687,0.48658281564712524,0.3843725224335988
8,0.011487140579502538,0.012193118607812132,0.012127332000784844,0.009235520627265919,0.013056373985855475,0.012360490484626974,0.5152298808097839,0.33890289465586343
9,0.011487140579502538,0.012193118607812132,0.011593420823320898,0.007989394963595202,0.012764187270739412,0.01079342116268528,0.5019577145576477,0.46785775423049925
10,0.011487140579502538,0.012193118607812132,0.012033082063415948,0.007716456067018743,0.013044752259320311,0.01079482608320813,0.5167376399040222,0.4693180243174235
11,0.011487140579502538,0.012193118607812132,0.012090091337579295,0.01029952667158762,0.012788518820856144,0.012865315441489437,0.48898589611053467,0.48780490954717
12,0.011487140579502538,0.012193118607812132,0.011862986058947684,0.010214065498119769,0.012638618411241564,0.01339704235162881,0.501238226890564,0.5543063521385193
13,0.011487140579502538,0.012193118607812132,0.011715703466658976,0.007681674159884428,0.012913324809659843,0.010493227859626494,0.5232236385345459,0.4093087693055471
14,0.011487140579502538,0.012193118607812132,0.011748868978236996,0.00793219598214451,0.012633051287140302,0.010887379967066369,0.4974420368671417,0.39359450340270996
15,0.011487140579502538,0.012193118607812132,0.011508883860752812,0.00858440261305153,0.012950617027899253,0.011188475621973249,0.48931291699409485,0.4837730646133423
16,0.011487140579502538,0.012193118607812132,0.012095407696322582,0.008239974883470585,0.013074624998788436,0.01053697555286866,0.4800882935523987,0.37034616271654763
17,0.011487140579502538,0.012193118607812132,0.010928195260579941,0.008854851088044246,0.012370679988802091,0.011321804657911062,0.4710269868373871,0.45094719727834065
18,0.011487140579502538,0.012193118607812132,0.0123427645620621,0.00819994488538823,0.013071362344233213,0.010394493483704404,0.4828377068042755,0.3602427005767822
19,0.011487140579502538,0.012193118607812132,0.011305737470661529,0.0076538589691723035,0.012699032480895699,0.009990729467392958,0.46043306589126587,0.3838285485903422
20,0.011487140579502538,0.012193118607812132,0.011360885036475886,0.008214492957138372,0.01270572046849257,0.011436716638027037,0.530088484287262,0.5023855686187744
21,0.011487140579502538,0.012193118607812132,0.011963230520355058,0.007903274624223501,0.012924629927201467,0.010746742140293596,0.49022912979125977,0.3601587037245432
22,0.011487140579502538,0.012193118607812132,0.01166918307774079,0.009521412232686944,0.012433779521477823,0.011894882907092334,0.48694664239883423,0.4589807987213135
23,0.011487140579502538,0.012193118607812132,0.011452930712702094,0.008741363334665624,0.012507897435610963,0.011101831347591145,0.49843308329582214,0.36811018983523053
24,0.011487140579502538,0.012193118607812132,0.011733042383226209,0.008989802045790208,0.012611435003365336,0.011528168548769301,0.4904135763645172,0.39037131468454994
25,0.011487140579502538,0.012193118607812132,0.011092811795606573,0.008443138226917305,0.01222429062078888,0.011119195527822966,0.4601936638355255,0.3729553441206614
26,0.011487140579502538,0.012193118607812132,0.011248426501658854,0.011756545643698378,0.01263164757114866,0.01480979260899303,0.503206193447113,0.530957035223643
27,0.011487140579502538,0.012193118607812132,0.011196078650636562,0.007808584845915478,0.012395301878373979,0.010193400088002196,0.4854234457015991,0.4418847958246867
28,0.011487140579502538,0.012193118607812132,0.011315867460819065,0.008106973768950932,0.012466392395470646,0.0104179629205003,0.5135083794593811,0.3993806461493174
29,0.011487140579502538,0.012193118607812132,0.01220439741061728,0.00864708896651519,0.013103439859092755,0.010743635126468367,0.5245171189308167,0.47595465977986656
